line,chart,root,season,queries
620,戊寅丁巳丙寅甲午,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
623,辛巳丁酉丁酉辛丑,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
626,辛亥壬辰丙申己亥,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE|RI-BEI-HE
629,戊辰戊午戊申己未,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
632,戊戌丙辰己巳己巳,LIGHT,IN_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
635,壬辰辛亥戊子癸丑,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
638,癸酉甲子戊子壬子,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE|RI-BEI-HE|JIRUO-WUGEN
641,壬申己酉庚子庚辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
644,庚申乙酉庚戌庚辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE|RI-BEI-HE
647,己卯庚午辛卯甲午,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
650,己亥丁卯庚寅丙子,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
653,壬寅辛亥壬子辛丑,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
656,癸亥癸亥壬子庚子,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
659,丙辰乙未壬午癸卯,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
